"","x"
"1","TYPHGLA"
"2","LYCOEUR"
"3","CARELYN"
"4","AGROSTO"
"5","TRIGMAR"
"6","ELEOPAL"
"7","SCHOPUN"
"8","SCHOTAB"
"9","TYPHANG"
"10","LYTHSAL"
"11","TYPHLAT"
"12","SCHEARU"
"13","SAGILAT"
