"","x"
"1","TYPHGLA"
"2","SCHOTAB"
"3","TYPHANG"
"4","LYTHSAL"
"5","AGROSTO"
"6","TYPHLAT"
"7","ELEOPAL"
"8","CARELYN"
"9","SCHOPUN"
"10","TRIGMAR"
"11","ALISTRI"
